"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 20 10:50:31 GMT 2023","Thu Apr 20 10:50:31 GMT 2023","657","Tests","test_Login","","","","test_SignInWithoutCredentials",""
"failed","Thu Apr 20 10:50:05 GMT 2023","Thu Apr 20 10:50:25 GMT 2023","19502","Tests","test_temprory_worker","","","","test_TemporaryWorkerVerifyIfExportedCSVFileDataMatchesWithWebTableData",""
"passed","Thu Apr 20 10:50:36 GMT 2023","Thu Apr 20 10:50:38 GMT 2023","1703","Tests","test_temprory_worker","","","","test_TemporaryWorkerScreen",""
"passed","Thu Apr 20 10:52:34 GMT 2023","Thu Apr 20 10:52:36 GMT 2023","1679","Tests","test_users","","","","test_UsersNavigateToUsersForApprovalPage",""
"failed","Thu Apr 20 10:48:56 GMT 2023","Thu Apr 20 10:49:12 GMT 2023","16074","Tests","test_users","","","","test_UsersCheckExportButtonDownloadsCSVFile",""
"failed","Thu Apr 20 10:48:01 GMT 2023","Thu Apr 20 10:48:21 GMT 2023","20158","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckExportButtonDownloadsCSVFile",""
"passed","Thu Apr 20 10:52:37 GMT 2023","Thu Apr 20 10:52:57 GMT 2023","19532","Tests","test_users","","","","test_UserDeleteLastAndVerify",""
"passed","Thu Apr 20 10:50:26 GMT 2023","Thu Apr 20 10:50:27 GMT 2023","1374","Tests","test_Login","","","","test_SignInThroughValidCredentials",""
"passed","Thu Apr 20 10:51:38 GMT 2023","Thu Apr 20 10:51:40 GMT 2023","1933","Tests","test_users","","","","test_UsersScreenNavigation",""
"passed","Thu Apr 20 10:47:04 GMT 2023","Thu Apr 20 10:47:18 GMT 2023","14452","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteFirst",""
"failed","Thu Apr 20 10:54:08 GMT 2023","Thu Apr 20 10:54:22 GMT 2023","14204","Tests","test_users","","","","test_EditFirstNameAndVerifyInTable",""
"passed","Thu Apr 20 10:55:13 GMT 2023","Thu Apr 20 10:55:19 GMT 2023","6593","Tests","test_users","","","","test_AddNewUserAndVerify",""
"broken","Thu Apr 20 10:51:19 GMT 2023","Thu Apr 20 10:51:34 GMT 2023","15384","Tests","test_temprory_worker","","","","test_TemporaryWorkerAdd",""
"passed","Thu Apr 20 10:49:20 GMT 2023","Thu Apr 20 10:49:22 GMT 2023","2448","Tests","test_users","","","","test_UserCheckNecessaryButtonsVisible",""
"passed","Thu Apr 20 10:49:14 GMT 2023","Thu Apr 20 10:49:15 GMT 2023","1927","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckNecessaryButtonsClickAble",""
"broken","Thu Apr 20 10:55:44 GMT 2023","Thu Apr 20 10:55:54 GMT 2023","10405","Tests","test_users","","","","test_AddNewUserMagicLinkAndVerify",""
"failed","Thu Apr 20 10:52:17 GMT 2023","Thu Apr 20 10:52:33 GMT 2023","15950","Tests","test_users","","","","test_UsersVerifyIfExportedCSVFileDataMatchesWithWebTableData",""
"passed","Thu Apr 20 10:52:58 GMT 2023","Thu Apr 20 10:53:08 GMT 2023","10787","Tests","test_users","","","","test_UserDeleteFirstAndVerify",""
"passed","Thu Apr 20 10:53:09 GMT 2023","Thu Apr 20 10:53:13 GMT 2023","3611","Tests","test_users","","","","test_verifyEditFormFieldsArePresent",""
"passed","Thu Apr 20 10:50:39 GMT 2023","Thu Apr 20 10:50:44 GMT 2023","5436","Tests","test_temprory_worker","","","","test_TemporaryWorkerMandatoryFields",""
"passed","Thu Apr 20 10:50:34 GMT 2023","Thu Apr 20 10:50:35 GMT 2023","1148","Tests","test_Login","","","","test_SignInWithoutPassword",""
"passed","Thu Apr 20 10:46:30 GMT 2023","Thu Apr 20 10:46:47 GMT 2023","17089","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteLast",""
"passed","Thu Apr 20 10:49:16 GMT 2023","Thu Apr 20 10:49:19 GMT 2023","2146","Tests","test_users","","","","test_UserCheckNecessaryButtonsClickAble",""
"passed","Thu Apr 20 10:50:32 GMT 2023","Thu Apr 20 10:50:33 GMT 2023","670","Tests","test_Login","","","","test_SignInWithInvalidEmail",""
"passed","Thu Apr 20 10:53:26 GMT 2023","Thu Apr 20 10:53:37 GMT 2023","10541","Tests","test_users","","","","test_verifyEditFormShowingChangesSavedSuccessWhenSubmittingFormWithoutChanges",""
"failed","Thu Apr 20 10:54:54 GMT 2023","Thu Apr 20 10:55:08 GMT 2023","14186","Tests","test_users","","","","test_EditLastNameAndVerifyInTable",""
"passed","Thu Apr 20 10:50:28 GMT 2023","Thu Apr 20 10:50:30 GMT 2023","1387","Tests","test_Login","","","","test_SignInThroughInValidCredentials",""
"passed","Thu Apr 20 10:51:35 GMT 2023","Thu Apr 20 10:51:37 GMT 2023","1833","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckNecessaryButtonsVisible",""
"passed","Thu Apr 20 10:55:09 GMT 2023","Thu Apr 20 10:55:12 GMT 2023","2587","Tests","test_users","","","","test_AddAndVerifyErrors",""
